family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17
3,60,52,75,91,31,56,11,,,,,,,,,,
3,25,123,93,114,35,37,38,79,84,15,77,9,5,7,61,59,
3,20,36,46,121,117,103,87,101,17,49,51,16,97,19,99,122,86
3,89,85,128,71,106,90,21,78,104,57,124,39,125,48,63,10,
3,68,83,40,74,130,58,,,,,,,,,,,
3,80,22,96,110,34,100,112,50,111,28,120,,,,,,
3,18,55,113,2,64,24,26,3,105,44,13,132,,,,,
3,127,45,109,102,42,82,29,72,27,62,73,65,23,,,,
3,12,54,70,32,118,129,81,67,88,53,,,,,,,
3,6,116,30,1,14,92,98,108,8,,,,,,,,
2,43,69,94,131,33,66,41,126,76,95,,,,,,,
1,107,4,47,115,119,,,,,,,,,,,,
