family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18
3,60,52,2,18,59,16,15,,,,,,,,,,,
3,25,123,119,133,83,40,72,160,58,,,,,,,,,
3,36,136,145,170,91,146,139,151,45,87,17,49,165,121,9,,,
3,93,124,143,37,29,98,89,14,128,23,84,7,153,61,135,,,
3,8,152,80,26,34,110,118,150,50,10,122,,,,,,,
3,117,101,46,54,140,38,77,96,175,164,107,28,32,62,111,86,48,75
3,79,115,156,138,65,163,97,21,78,155,51,99,68,120,,,,
3,147,106,70,66,71,129,159,44,3,154,22,63,13,,,,,
3,85,64,125,161,24,81,148,1,157,11,19,27,132,,,,,
3,20,104,90,12,109,57,39,95,102,35,144,73,,,,,,
3,142,127,56,67,88,171,42,82,167,108,158,112,,,,,,
3,55,103,113,173,5,92,169,114,,,,,,,,,,
3,141,33,69,149,74,43,172,126,168,6,30,105,,,,,,
2,166,131,31,76,116,137,174,,,,,,,,,,,
1,41,100,134,4,47,53,130,162,,,,,,,,,,
1,94,,,,,,,,,,,,,,,,,
