family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21
3,117,157,34,80,17,114,,,,,,,,,,,,,,,
3,118,125,109,149,46,47,215,16,173,,,,,,,,,,,,
3,29,75,103,165,194,178,2,10,127,229,175,97,105,53,45,27,83,,,,
3,14,18,89,100,111,121,130,160,1,90,190,187,95,,,,,,,,
3,138,132,25,112,155,198,36,174,40,151,,,,,,,,,,,
3,196,201,77,31,87,106,,,,,,,,,,,,,,,
3,232,74,182,51,129,238,143,209,15,122,55,200,146,141,153,226,,,,,
3,21,56,212,221,101,230,22,84,120,68,3,28,98,50,208,,,,,,
3,96,164,161,126,150,30,23,65,197,220,35,183,38,104,107,152,140,163,168,,
3,108,162,188,42,110,240,7,199,234,227,235,237,85,185,99,145,166,26,123,19,
3,32,176,193,222,72,88,233,54,41,82,76,184,144,236,180,177,136,9,,,
3,81,62,115,203,210,219,225,218,158,179,217,,,,,,,,,,
3,224,12,59,131,154,11,64,79,94,204,69,4,8,186,213,133,195,43,52,91,181
3,66,206,63,216,156,202,39,139,,,,,,,,,,,,,
3,231,171,86,119,134,13,71,189,239,147,167,67,102,33,142,214,,,,,
3,58,228,48,169,223,211,57,159,172,116,192,37,61,,,,,,,,
3,5,44,124,6,78,70,73,93,170,135,205,137,,,,,,,,,
1,207,20,24,113,128,148,60,92,191,49,,,,,,,,,,,
