family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20
3,117,157,219,46,215,176,257,36,97,,,,,,,,,,,
3,118,299,109,181,21,45,153,141,89,,,,,,,,,,,
3,248,40,80,58,245,17,114,282,296,,,,,,,,,,,
3,29,103,165,194,317,47,313,16,127,10,229,175,105,297,173,83,,,,
3,2,14,18,100,111,272,121,33,242,160,315,79,247,305,,,,,,
3,59,138,132,25,112,155,316,143,209,258,27,,,,,,,,,
3,276,201,62,196,156,279,63,302,,,,,,,,,,,,
3,306,41,210,214,236,151,,,,,,,,,,,,,,
3,174,232,182,250,3,238,15,32,35,187,23,65,197,220,298,278,270,288,50,
3,53,96,293,161,95,122,126,150,303,1,90,241,55,200,146,140,218,163,,
3,108,162,30,222,129,252,68,115,203,224,228,22,166,133,185,208,75,,,
3,223,51,26,172,275,71,168,145,99,144,123,267,,,,,,,,
3,193,262,256,72,88,217,233,54,253,273,320,322,34,177,314,191,19,,,
3,110,295,37,183,28,7,38,57,104,227,158,179,312,,,,,,,
3,107,188,277,98,318,136,13,52,81,31,74,39,,,,,,,,
3,240,199,234,264,43,9,178,91,85,134,237,265,195,76,285,139,,,,
3,56,212,221,101,230,84,120,225,284,202,42,198,20,,,,,,,
3,251,304,12,44,154,271,289,11,60,64,94,204,281,321,4,8,186,93,216,263
3,244,300,49,206,167,130,213,246,149,189,239,147,291,261,,,,,,
3,48,190,266,274,119,116,269,226,235,260,102,142,106,249,,,,,,
3,231,69,171,243,164,301,170,311,159,286,82,184,152,180,87,,,,,
3,86,66,207,310,70,73,254,283,290,128,67,323,192,61,137,77,,,,
3,211,125,280,169,259,135,205,255,308,92,287,,,,,,,,,
2,5,124,268,6,78,24,131,307,294,,,,,,,,,,,
1,113,148,309,319,292,,,,,,,,,,,,,,,
