family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26
3,299,118,40,59,138,29,103,165,313,46,47,194,317,219,248,109,21,45,27,36,97,,,,,
3,2,14,18,16,174,232,182,250,100,111,272,173,33,30,303,315,160,1,90,241,298,187,270,247,305,
3,62,196,92,287,307,24,113,131,156,279,284,130,198,42,49,63,302,202,39,139,89,141,,,,
3,175,105,297,53,293,96,150,126,129,161,22,84,120,153,68,252,200,55,122,95,83,121,242,143,209,
3,258,3,238,32,15,193,262,48,71,301,185,91,178,43,99,144,149,189,239,145,163,275,172,26,168,123
3,108,162,79,107,188,57,171,243,140,69,4,8,186,213,218,146,23,65,197,220,35,37,288,50,208,
3,110,295,278,240,28,7,136,199,234,104,183,38,227,277,237,265,235,75,158,52,267,19,191,314,,
3,222,231,225,321,166,164,133,195,98,318,116,119,81,226,269,274,291,31,74,285,312,236,151,,,
3,256,54,66,207,310,266,93,147,170,311,102,286,261,179,260,142,20,263,216,320,,,,,,
3,115,203,224,228,251,304,12,44,154,271,289,11,101,230,56,212,221,229,10,215,176,316,112,,,
3,13,264,9,85,134,246,190,86,6,192,78,308,61,137,106,249,87,77,,,,,,,,
3,58,245,125,211,72,88,217,233,253,323,76,82,184,322,177,34,273,17,114,282,296,155,132,,,
3,60,64,94,204,281,5,124,167,268,206,244,300,127,25,223,51,257,80,306,117,,,,,,
3,276,148,309,319,292,67,280,152,180,214,210,41,157,181,,,,,,,,,,,,
1,159,70,73,254,283,290,128,135,205,255,259,169,294,201,,,,,,,,,,,,
