family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23
3,117,157,269,46,122,326,215,84,109,170,237,,,,,,,,,,,,
3,118,299,36,318,355,307,395,325,124,120,13,371,,,,,,,,,,,
3,384,348,80,245,374,89,385,392,296,104,113,73,61,,,,,,,,,,
3,41,165,194,317,406,47,362,394,25,203,112,346,42,209,400,130,257,140,275,361,,,
3,2,18,380,368,300,335,127,404,15,175,105,297,173,62,121,134,153,10,,,,,
3,174,407,338,273,154,253,54,323,223,322,63,177,151,367,314,302,149,,,,,,
3,226,201,167,266,161,402,171,219,390,148,243,347,,,,,,,,,,,
3,116,95,182,327,313,373,160,398,230,53,228,,,,,,,,,,,,
3,306,332,288,214,369,399,119,,,,,,,,,,,,,,,,
3,232,377,238,281,91,166,193,196,262,279,363,241,1,90,303,147,138,210,4,45,231,221,34
3,222,96,336,293,337,126,150,359,152,330,252,68,7,298,37,141,264,,,,,,
3,100,360,391,364,401,21,23,65,197,220,187,35,376,199,57,270,26,,,,,,
3,365,244,403,123,212,255,383,101,40,133,202,39,389,,,,,,,,,,
3,108,162,233,75,198,146,59,115,224,251,397,22,81,352,235,218,305,388,,,,,
3,320,77,249,87,106,379,,,,,,,,,,,,,,,,,
3,190,67,79,254,260,136,71,396,145,55,185,50,208,181,,,,,,,,,
3,110,276,340,183,28,131,132,38,144,227,343,168,137,,,,,,,,,,
3,32,188,242,277,93,345,156,74,229,99,247,33,294,,,,,,,,,,
3,267,234,341,342,43,163,291,312,48,85,172,70,195,258,240,164,,,,,,,
3,44,72,88,107,250,211,56,184,82,272,274,19,239,29,285,176,179,,,,,,
3,27,216,12,271,289,304,353,225,308,278,158,178,,,,,,,,,,,
3,128,9,11,64,94,204,321,284,351,263,316,,,,,,,,,,,,
3,30,328,334,60,356,16,354,236,393,17,324,261,375,,,,,,,,,,
3,246,66,344,189,217,310,349,256,311,339,159,265,333,286,31,372,,,,,,,
3,76,97,103,8,49,186,387,357,366,370,102,405,52,143,,,,,,,,,
3,378,69,6,192,280,200,51,129,386,139,180,,,,,,,,,,,,
3,86,20,98,329,282,283,14,114,248,111,331,169,259,83,207,,,,,,,,
3,155,206,315,3,382,92,287,142,,,,,,,,,,,,,,,
2,5,125,268,350,24,191,295,301,309,358,381,58,290,,,,,,,,,,
1,319,292,78,135,205,213,,,,,,,,,,,,,,,,,
