family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29
3,299,118,348,174,407,41,165,194,362,46,47,317,406,269,384,36,355,307,15,237,371,13,275,,,,,,
3,2,18,380,395,116,127,232,377,124,182,327,173,100,360,391,62,121,313,373,160,279,90,134,398,61,73,10,149,
3,167,266,226,320,365,244,403,212,255,383,123,101,128,231,45,37,243,361,141,148,53,347,170,,,,,,
3,175,105,297,96,293,4,150,364,126,138,303,197,21,23,65,220,187,35,57,340,270,38,230,305,388,50,153,120,
3,130,238,281,91,166,193,262,30,71,74,145,334,328,60,291,247,312,99,55,43,396,136,260,26,168,137,109,104,215
3,336,59,115,224,7,251,298,397,22,81,216,68,252,359,147,210,337,152,330,146,218,343,264,221,171,122,,,
3,108,162,363,32,188,242,76,97,69,49,387,8,186,357,70,172,144,227,277,183,241,1,140,209,400,84,34,,
3,110,276,199,267,376,401,233,75,198,225,321,235,195,185,51,33,52,143,181,208,158,278,119,302,,,,,
3,44,54,189,217,310,349,256,311,339,200,129,405,280,236,393,17,176,29,239,285,369,399,19,113,228,,,,
3,28,131,156,234,132,341,66,48,85,246,163,229,342,196,79,190,67,42,112,346,203,296,394,,,,,,
3,93,345,103,308,86,344,16,354,356,274,82,184,372,367,139,180,151,177,63,322,223,314,272,,,,,,
3,245,374,56,211,72,88,107,250,254,253,323,338,25,335,300,404,325,95,257,154,273,89,385,316,,,,,
3,12,271,289,304,352,353,9,11,64,94,204,378,284,382,202,133,40,219,390,161,402,39,,,,,,,
3,5,125,268,350,3,6,27,222,368,155,206,315,92,287,381,142,207,379,106,389,,,,,,,,,
3,370,159,20,98,265,329,282,283,333,14,286,386,102,179,324,261,31,214,288,392,,,,,,,,,
3,24,191,301,309,295,319,358,58,192,78,263,240,351,258,366,294,164,178,318,375,,,,,,,,,
2,114,135,83,205,213,259,169,111,332,306,117,157,326,80,,,,,,,,,,,,,,,
1,331,248,292,201,77,249,87,,,,,,,,,,,,,,,,,,,,,,
1,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,
