family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26
3,117,157,268,433,306,80,215,84,109,216,476,336,,,,,,,,,,,,,,
3,95,118,299,147,231,425,464,496,428,307,27,360,29,361,452,,,,,,,,,,,
3,384,475,4,165,194,47,348,304,378,326,435,444,170,129,48,,,,,,,,,,,
3,198,356,201,21,97,328,380,415,138,171,36,148,9,237,,,,,,,,,,,,
3,317,486,491,456,368,395,187,242,404,255,173,30,121,353,371,13,219,359,,,,,,,,
3,243,259,440,442,210,245,374,32,392,469,152,273,253,113,135,461,449,423,20,70,,,,,,
3,2,18,414,127,116,122,182,327,460,79,209,462,40,120,73,207,60,,,,,,,,,
3,91,232,257,57,238,332,58,196,489,107,35,413,23,65,197,220,267,487,134,455,373,275,343,417,477,436
3,222,175,297,454,96,465,293,412,432,66,85,410,411,160,429,398,230,153,10,280,89,,,,,
3,143,391,480,76,426,303,364,1,90,105,490,349,330,495,300,276,347,53,488,418,,,,,,
3,93,25,438,112,235,470,339,42,98,296,274,342,308,,,,,,,,,,,,,
3,445,244,338,123,212,282,383,63,434,467,481,141,421,301,149,,,,,,,,,,,
3,355,446,269,272,483,12,44,271,289,352,7,203,59,139,305,200,450,,,,,,,,,
3,494,471,169,111,177,151,399,322,381,408,314,100,290,119,,,,,,,,,,,,
3,108,162,126,150,427,252,68,115,213,224,146,225,281,451,258,365,67,,,,,,,,,
3,320,77,75,249,87,106,228,,,,,,,,,,,,,,,,,,,
3,190,459,34,223,26,337,294,71,396,145,55,166,50,388,302,,,,,,,,,,,
3,193,239,262,15,37,72,88,156,191,254,54,144,323,82,226,485,397,416,357,285,463,,,,,
3,110,161,376,131,74,263,183,270,125,28,132,38,189,229,168,,,,,,,,,,,
3,41,81,188,401,174,103,178,227,277,136,345,382,49,133,185,250,208,181,,,,,,,,
3,155,140,142,234,341,260,437,482,43,99,19,406,448,104,344,334,233,56,124,33,241,,,,,
3,218,114,321,69,8,186,387,431,195,407,346,240,351,164,179,324,176,,,,,,,,,
3,251,266,366,472,64,94,204,264,278,478,101,385,386,248,315,390,202,284,39,439,86,,,,,
3,265,493,221,377,199,217,447,393,205,354,430,479,367,,,,,,,,,,,,,
3,246,312,443,325,163,158,52,466,51,405,369,419,370,362,298,31,214,,,,,,,,,
3,137,286,172,335,422,492,46,236,340,256,453,468,313,261,130,457,,,,,,,,,,
3,154,184,372,318,11,180,279,316,375,,,,,,,,,,,,,,,,,
3,211,287,409,331,14,319,283,333,358,159,102,167,17,379,,,,,,,,,,,,
3,402,61,22,310,311,473,128,329,192,6,403,3,206,16,92,45,,,,,,,,,,
3,5,288,350,389,24,247,295,309,394,400,441,420,83,,,,,,,,,,,,,
1,363,78,458,474,292,62,424,484,291,,,,,,,,,,,,,,,,,
