family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31
3,299,118,433,243,259,440,4,165,348,47,491,194,317,486,304,378,326,435,215,93,84,109,170,216,476,336,,,,,
3,2,18,414,456,395,127,116,91,232,182,327,460,173,143,391,480,30,121,353,411,237,371,9,134,267,359,275,207,60,,
3,21,328,97,356,320,198,95,384,475,231,425,464,496,355,428,307,27,360,276,495,29,452,,,,,,,,,
3,175,297,454,96,293,412,465,222,368,432,126,150,410,427,85,66,303,160,429,1,90,13,373,219,107,73,449,423,48,129,
3,40,238,332,58,193,239,262,57,196,489,364,197,23,65,220,487,35,413,263,74,270,125,398,230,343,305,417,301,70,10,20
3,108,162,105,81,41,188,401,103,137,286,8,186,387,431,139,451,59,146,361,330,349,481,467,434,421,148,347,89,477,,
3,110,161,131,155,265,229,260,71,377,294,145,334,493,55,99,274,342,406,448,104,50,250,185,388,396,461,488,149,436,,
3,174,218,114,225,321,69,281,422,382,49,325,163,43,189,183,38,178,227,277,490,76,255,122,79,209,120,444,36,,,
3,15,54,144,211,287,253,37,72,88,156,254,191,42,98,235,438,25,112,470,339,462,26,337,168,450,290,280,418,,,
3,28,140,142,234,132,341,376,455,426,269,272,483,68,252,7,115,141,53,258,346,365,39,439,171,308,,,,,,
3,203,213,224,251,266,300,12,44,271,289,352,366,472,64,94,63,101,123,385,386,202,138,153,268,,,,,,,
3,136,345,335,133,195,172,492,236,158,221,447,51,52,466,369,430,405,33,181,200,208,419,241,179,119,228,,,,,
3,482,19,246,312,344,443,166,437,402,233,205,56,256,285,416,357,463,397,485,226,100,408,314,67,302,,,,,,
3,245,374,210,409,331,169,111,152,322,177,11,180,367,318,372,184,135,399,151,113,296,147,,,,,,,,,
3,204,264,278,478,446,257,223,323,381,82,199,217,362,393,124,176,479,298,31,214,316,,,,,,,,,,
3,354,340,311,473,159,128,329,363,453,283,333,358,313,324,468,102,370,164,351,86,457,75,,,,,,,,,
3,61,22,310,14,319,424,83,484,62,471,494,279,154,273,32,392,469,80,306,375,,,,,,,,,,,
3,5,288,350,389,403,3,6,407,192,78,167,240,46,130,261,459,404,187,390,379,,,,,,,,,,,
3,16,92,441,24,247,295,309,394,400,380,415,284,244,338,212,282,383,242,442,117,157,,,,,,,,,,
2,458,474,292,45,17,420,206,248,315,445,190,34,106,249,87,,,,,,,,,,,,,,,,
1,291,201,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
