family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10
1,1,9,13,23,30,35,38,41,66,74
1,2,18,307,368,414,456,,,,
1,3,5,202,284,288,350,385,389,403,
1,4,47,165,194,317,348,486,,,
1,6,89,346,365,,,,,,
1,7,12,29,44,59,68,69,114,115,126
1,8,60,133,137,139,146,172,186,195,225
1,10,19,20,33,50,51,52,70,104,158
1,11,180,,,,,,,,
1,14,318,319,367,,,,,,
1,15,26,34,57,58,129,170,189,190,193
1,16,24,92,247,295,309,394,400,458,474
1,17,379,,,,,,,,
1,21,97,328,,,,,,,
1,22,56,61,124,149,199,217,226,256,285
1,25,84,93,112,215,235,296,438,,
1,27,85,96,116,143,175,187,222,242,255
1,28,43,65,73,81,99,103,105,107,136
1,31,,,,,,,,,
1,32,210,245,374,392,469,,,,
1,36,206,248,315,386,,,,,
1,37,42,72,88,98,109,156,191,254,459
1,39,439,,,,,,,,
1,40,76,91,120,121,122,160,173,182,196
1,45,292,,,,,,,,
1,46,241,370,419,477,492,,,,
1,48,55,71,145,163,166,168,185,205,221
1,49,153,178,207,227,230,277,286,301,305
1,53,64,94,141,148,204,258,264,271,278
1,54,113,144,154,211,253,323,444,,
1,62,83,424,484,,,,,,
1,63,101,123,212,282,383,434,446,,
1,67,298,302,,,,,,,
1,75,249,,,,,,,,
1,77,,,,,,,,,
1,78,86,167,418,,,,,,
1,79,127,209,216,232,327,460,462,476,
1,80,111,331,,,,,,,
1,82,100,184,397,408,485,,,,
1,87,,,,,,,,,
1,90,108,110,125,131,134,162,263,,
1,95,118,299,,,,,,,
1,102,179,308,,,,,,,
1,106,,,,,,,,,
1,117,157,268,,,,,,,
1,119,,,,,,,,,
1,128,159,176,329,362,363,436,453,,
1,130,,,,,,,,,
1,132,140,142,155,161,183,188,197,220,229
1,135,287,381,,,,,,,
1,138,171,390,,,,,,,
1,147,,,,,,,,,
1,150,174,203,213,218,224,237,251,,
1,151,177,399,,,,,,,
1,152,409,,,,,,,,
1,164,351,,,,,,,,
1,169,,,,,,,,,
1,181,200,208,233,236,246,250,274,312,325
1,192,240,,,,,,,,
1,198,,,,,,,,,
1,201,,,,,,,,,
1,214,,,,,,,,,
1,219,238,239,257,262,267,270,303,332,353
1,223,265,337,339,489,,,,,
1,228,,,,,,,,,
2,231,,,,,,,,,
1,234,260,275,341,342,344,345,359,376,388
1,243,,,,,,,,,
1,244,338,,,,,,,,
1,252,266,276,293,300,330,343,347,349,371
1,259,440,,,,,,,,
1,261,,,,,,,,,
1,269,272,289,321,352,360,361,366,467,472
1,273,,,,,,,,,
1,279,,,,,,,,,
1,280,311,340,354,369,393,402,405,406,423
1,281,387,407,431,451,495,,,,
1,283,333,358,479,,,,,,
1,290,310,336,357,416,450,463,488,,
1,291,,,,,,,,,
1,294,334,377,396,437,461,482,493,,
1,297,364,391,404,410,411,412,426,427,432
1,304,378,,,,,,,,
1,306,,,,,,,,,
1,313,,,,,,,,,
